date,open,high,aumenta
1.56373E+12,10673,10745.98,0
1.56373E+12,10677.87,10678.25,0
1.56374E+12,10553.89,10614.55,0
1.56374E+12,10585.11,10592,0
1.56374E+12,10564.83,10596.43,0
1.56375E+12,10535.08,10560.19,0
1.56375E+12,10394.87,10472.81,0
1.56375E+12,10443.54,10471.36,0
1.56376E+12,10355.64,10440,0
1.56376E+12,10418.58,10515.36,0
1.56376E+12,10492.21,10515,0
1.56377E+12,10407.3,10520,0
1.56377E+12,10501.08,10600,0
1.56378E+12,10556.01,10649.88,0
1.56378E+12,10551.76,10640,0
1.56378E+12,10590.15,10683.16,0
1.56379E+12,10592.81,10617.77,0
1.56379E+12,10579.4,10633,0
1.56379E+12,10619.55,10642.85,0
1.5638E+12,10613.47,10642.66,0
1.5638E+12,10556.57,10603.43,0
1.5638E+12,10588.13,10640,0
1.56381E+12,10597.15,10620.57,0
1.56381E+12,10603.39,10620,0
1.56381E+12,10562.94,10565.88,0
1.56382E+12,10456.01,10536.42,0
1.56382E+12,10492.23,10620,0
1.56383E+12,10559.64,10588,0
1.56383E+12,10530,10550,0
1.56383E+12,10492.67,10549.95,0
1.56384E+12,10220,10350.14,0
1.56384E+12,10240.81,10316,0
1.56384E+12,10245.47,10430,1
1.56385E+12,10354.59,10354.59,0
1.56385E+12,10294.47,10330.38,0
1.56385E+12,10163.75,10393,1
1.56386E+12,10350.01,10394,0
1.56386E+12,10293.39,10390,0
1.56387E+12,10300.01,10375,0
1.56387E+12,10343.08,10343.97,0
1.56387E+12,10269.49,10271.91,0
1.56388E+12,10235.34,10309.56,0
1.56388E+12,10287.19,10313.48,0
1.56388E+12,10255.11,10259.33,0
1.56389E+12,10237.81,10258.76,0
1.56389E+12,10164,10205.99,0
1.56389E+12,10047.13,10230.89,1
1.5639E+12,10041.61,10102.9,0
1.5639E+12,9959.76,10028,0
1.5639E+12,9991.42,10040,0
1.56391E+12,10003.43,10065,0
1.56391E+12,10025,10045.87,0
1.56392E+12,9993.91,10008.27,0
1.56392E+12,9956.47,10018.27,0
1.56392E+12,9988.18,10068,0
1.56393E+12,9930.59,10020,0
1.56393E+12,9988.73,10025.51,0
1.56393E+12,10013.2,10179,1
1.56394E+12,10096.71,10159.42,0
1.56394E+12,10147.69,10227.98,0
1.56394E+12,10142.55,10147.54,0
1.56395E+12,10123.43,10143.65,0
1.56395E+12,10031.04,10034.05,0
1.56396E+12,9864.78,9870.22,0
1.56396E+12,9693.81,9735.11,0
1.56396E+12,9701.41,9729,0
1.56397E+12,9703.62,9704.99,0
1.56397E+12,9650,9675.04,0
1.56397E+12,9650.68,9778.23,0
1.56398E+12,9705.63,9775.65,0
1.56398E+12,9697.49,9733.81,0
1.56398E+12,9711.85,9797,0
1.56399E+12,9757.47,9785.63,0
1.56399E+12,9766.81,9780.1,0
1.56399E+12,9701.63,9751,0
1.564E+12,9721.5,9780,0
1.564E+12,9752.1,9799.99,0
1.56401E+12,9709.81,9909,1
1.56401E+12,9871.7,9937,0
1.56401E+12,9911.67,9928.74,0
1.56402E+12,9583,9671.75,0
1.56402E+12,9618.54,9688,0
1.56402E+12,9642.8,9698,0
1.56403E+12,9650.97,9725,0
1.56403E+12,9670.28,9843.4,1
1.56403E+12,9778.37,9830,0
1.56404E+12,9760.77,9848,0
1.56404E+12,9763.4,10160,1
1.56405E+12,10100,10175,0
1.56405E+12,10069.64,10108,0
1.56405E+12,10065.97,10112.23,0
1.56406E+12,10090.12,10110.01,0
1.56406E+12,10040.68,10069.2,0
1.56406E+12,10055.73,10090.97,0
1.56407E+12,10073.36,10100,0
1.56407E+12,10045.64,10102.04,0
1.56407E+12,10070.58,10140,0
1.56408E+12,10064.65,10097,0
1.56408E+12,10071.43,10080.63,0
1.56408E+12,10066.18,10156.6,0
1.56409E+12,10126.96,10127.63,0
1.56409E+12,9956.43,10005.3,0
1.5641E+12,9970.91,10009.1,0
1.5641E+12,9987.92,10077.64,0
1.5641E+12,9983.72,10013,0
1.56411E+12,9991.11,10010,0
1.56411E+12,9990.88,9990.89,0
1.56411E+12,9857.21,9888.13,0
1.56412E+12,9874.5,9895,0
1.56412E+12,9882.86,9949.99,0
1.56412E+12,9906.68,9933.23,0
1.56413E+12,9882.15,9882.15,0
1.56413E+12,9725.75,9735.67,0
1.56414E+12,9699.57,9709.25,0
1.56414E+12,9683.55,9756.85,0
1.56414E+12,9694.63,9735.61,0
1.56415E+12,9733.72,9734.16,0
1.56415E+12,9720.41,9727.76,0
1.56415E+12,9698.73,9789.82,0
1.56416E+12,9764.18,9803.88,0
1.56416E+12,9791.51,9799,0
1.56416E+12,9791.5,9803.97,0
1.56417E+12,9766.93,9815,0
1.56417E+12,9791.33,9852.49,0
1.56417E+12,9773.62,9799.69,0
1.56418E+12,9770.26,9789.6,0
1.56418E+12,9764.67,9799.95,0
1.56419E+12,9794.01,9889.98,0
1.56419E+12,9807.47,9825.53,0
1.56419E+12,9780.64,9845,0
1.5642E+12,9804.16,9868.88,0
1.5642E+12,9838.98,9860,0
1.5642E+12,9819.43,9837.2,0
1.56421E+12,9811.42,9821.32,0
1.56421E+12,9774.98,9845,0
1.56421E+12,9824,10161.4,1
1.56422E+12,10142.18,10188.66,0
1.56422E+12,10086.8,10110.56,0
1.56423E+12,10105.77,10119.25,0
1.56423E+12,10103.02,10118.55,0
1.56423E+12,10107.27,10110.8,0
1.56424E+12,10053.86,10077.87,0
1.56424E+12,10051.7,10076.69,0
1.56424E+12,10057.32,10088,0
1.56425E+12,10058.25,10072.51,0
1.56425E+12,10050.59,10069.76,0
1.56425E+12,9546.65,9560,0
1.56426E+12,9525.81,9526,0
1.56426E+12,9430.67,9499.79,0
1.56426E+12,9443.71,9500.27,0
1.56427E+12,9449.47,9475,0
1.56427E+12,9428.52,9481.73,0
1.56428E+12,9436.04,9480,0
1.56428E+12,9456.46,9467.88,0
1.56428E+12,9401.94,9465.81,0
1.56429E+12,9411.26,9463.49,0
1.56429E+12,9453.07,9541.47,0
1.56429E+12,9519.64,9535,0
1.5643E+12,9455.06,9540,0
1.5643E+12,9478.92,9488.26,0
1.5643E+12,9422.19,9497.5,0
1.56431E+12,9490.6,9505.51,0
1.56431E+12,9468.99,9496,0
1.56432E+12,9480.56,9578.17,0
1.56432E+12,9514.4,9549.21,0
1.56432E+12,9514.49,9550,0
1.56433E+12,9512.99,9534.15,0
1.56433E+12,9494.49,9534,0
1.56433E+12,9515.03,9530,0
1.56434E+12,9475,9492.32,0
1.56434E+12,9463.11,9579,0
1.56434E+12,9535,9546.31,0
1.56435E+12,9518.71,9522.74,0
1.56435E+12,9505.32,9557.06,0
1.56435E+12,9503,9559.18,0
1.56436E+12,9522.91,9594.99,0
1.56436E+12,9548.99,9581.03,0
1.56437E+12,9564.14,9590,0
1.56437E+12,9565.96,9577.32,0
1.56437E+12,9555.69,9573.09,0
1.56438E+12,9538.48,9546.96,0
1.56438E+12,9468.35,9580,0
1.56438E+12,9497.38,9550,0
1.56439E+12,9541.54,9550,0
1.56439E+12,9534.99,9729,1
1.56439E+12,9674.35,9679.78,0
1.5644E+12,9644.01,9665.67,0
1.5644E+12,9636.62,9684.7,0
1.56441E+12,9663.33,9672.64,0
1.56441E+12,9613.61,9622,0
1.56441E+12,9607.88,9625.95,0
1.56442E+12,9624.79,9650,0
1.56442E+12,9573.64,9584.98,0
1.56442E+12,9495.51,9544,0
1.56443E+12,9511.69,9533,0
1.56443E+12,9484.51,9559.53,0
1.56443E+12,9550.32,9635.96,0
1.56444E+12,9572.49,9605.99,0
1.56444E+12,9556.04,9600,0
1.56444E+12,9538.24,9693.98,1
1.56445E+12,9548.45,9566.61,0
1.56445E+12,9502.79,9534.55,0
1.56446E+12,9520.6,9530.67,0
1.56446E+12,9489.81,9538.11,0
1.56446E+12,9527.5,9548.92,0
1.56447E+12,9511.45,9549,0
1.56447E+12,9531.96,9542.99,0
1.56447E+12,9509.07,9539,0
1.56448E+12,9533.59,9534,0
1.56448E+12,9465.25,9488.94,0
1.56448E+12,9425.6,9453.58,0
1.56449E+12,9441.04,9460.9,0
1.56449E+12,9445.55,9474.03,0
1.5645E+12,9451.4,9530,0
1.5645E+12,9503.02,9513.59,0
1.5645E+12,9501.29,9521.94,0
1.56451E+12,9478.31,9500.26,0
1.56451E+12,9487.64,9526,0
1.56451E+12,9500.97,9564.86,0
1.56452E+12,9524.81,9588,0
1.56452E+12,9535.84,9554.88,0
1.56452E+12,9542.24,9577.8,0
1.56453E+12,9558.25,9714.28,1
1.56453E+12,9684.58,9714,0
1.56453E+12,9684.85,9684.85,0
1.56454E+12,9609.3,9650.55,0
1.56454E+12,9624.17,9648.97,0
1.56455E+12,9598.87,9617.69,0
1.56455E+12,9535.22,9585,0
1.56455E+12,9577.62,9629,0
1.56456E+12,9561.76,9595.01,0
1.56456E+12,9575,9699,0
1.56456E+12,9693.22,9720,0
1.56457E+12,9697.47,9698.96,0
1.56457E+12,9665.82,9687.95,0
1.56457E+12,9670.28,9677,0
1.56458E+12,9672.5,9777,0
1.56458E+12,9706.97,9790,0
1.56459E+12,9777.02,9809.99,0
1.56459E+12,9734.86,9772.54,0
1.56459E+12,9755.73,9766.83,0
1.5646E+12,9753.71,9786.12,0
1.5646E+12,9771.3,9774.9,0
1.5646E+12,9758.1,9880,0
1.56461E+12,9829.54,9958.99,0
1.56461E+12,9955.19,10019.89,0
1.56461E+12,9937.82,10086.79,0
1.56462E+12,10049.7,10109.8,0
1.56462E+12,9965.86,10028.24,0
1.56462E+12,10024.48,10025,0
1.56463E+12,9975.52,10000,0
1.56463E+12,9982.43,10059.98,0
1.56464E+12,10010.83,10052.18,0
1.56464E+12,10050,10053.64,0
1.56464E+12,10000.06,10091.73,0
1.56465E+12,10080.53,10155.06,0
1.56465E+12,10043,10065.07,0
1.56465E+12,10022,10038.56,0
1.56466E+12,10027.47,10029.88,0
1.56466E+12,9989.61,9999.96,0
1.56466E+12,9978.49,9989,0
1.56467E+12,9908.56,9972.22,0
1.56467E+12,9956.72,9990,0
1.56468E+12,9961.34,9994,0
1.56468E+12,9969.42,9974.46,0
1.56468E+12,9970.71,9972.86,0
1.56469E+12,9942.92,9977.99,0
1.56469E+12,9962.86,10040.98,0
1.56469E+12,10024.45,10060,0
1.5647E+12,10044.95,10047.61,0
1.5647E+12,9993.95,10020,0
1.5647E+12,10011.48,10056.47,0
1.56471E+12,10050.25,10105.04,0
1.56471E+12,10085.44,10192.63,0
1.56471E+12,10170.36,10341.78,1
1.56472E+12,10283.71,10467.86,1
1.56472E+12,10387.01,10424.58,0
1.56473E+12,10406.48,10430.82,0
1.56473E+12,10374.82,10408.31,0
1.56473E+12,10375,10440.61,0
1.56474E+12,10373.7,10399.99,0
1.56474E+12,10382.4,10406.76,0
1.56474E+12,10375.43,10410,0
1.56475E+12,10335.8,10390.85,0
1.56475E+12,10369.12,10432.39,0
1.56475E+12,10430.52,10500,0
1.56476E+12,10457.37,10570,0
1.56476E+12,10533.19,10534.59,0
1.56477E+12,10500.98,10540.18,0
1.56477E+12,10440.28,10511.98,0
1.56477E+12,10496.52,10536.41,0
1.56478E+12,10467.08,10565.43,0
1.56478E+12,10556.22,10573.27,0
1.56478E+12,10545.5,10590,0
1.56479E+12,10588.47,10643.56,0
1.56479E+12,10612.1,10670,0
1.56479E+12,10421.39,10469.35,0
1.5648E+12,10442.37,10480.76,0
1.5648E+12,10456.03,10462.53,0
1.5648E+12,10444,10450,0
1.56481E+12,10383.07,10458.92,0
1.56481E+12,10407.74,10528,0
1.56482E+12,10517.13,10545,0
1.56482E+12,10523.75,10555.07,0
