date,open,high,previsao
1577160000000,7432.38,7433.9,0
1577163600000,7401.03,7401.79,0
1577167200000,7315.2,7330.01,0
1577170800000,7296.69,7348,0
1577174400000,7317.3,7325.59,0
1577178000000,7304.32,7323.83,0
1577181600000,7310.82,7330.5,0
1577185200000,7326.77,7339.5,0
1577188800000,7313.88,7332.21,0
1577192400000,7310.97,7341.01,0
1577196000000,7340.7,7342.27,0
1577199600000,7333.11,7334.98,0
1577203200000,7264.91,7393,1
1577206800000,7362.86,7400,0
1577210400000,7370.62,7416.53,0
1577214000000,7401.57,7410.35,0
1577217600000,7373.55,7385,0
1577221200000,7357.21,7398.1,0
1577224800000,7383.71,7436.68,0
1577228400000,7354.55,7356.18,0
1577232000000,7277.47,7300,0
1577235600000,7295.41,7311.31,0
1577239200000,7228.74,7247.4,0
1577242800000,7203.45,7274.2,0
1577246400000,7253.92,7280,0
1577250000000,7220.98,7268.96,0
1577253600000,7253.12,7263.57,0
1577257200000,7239.16,7273.86,0
1577260800000,7255.77,7267.39,0
1577264400000,7232.02,7250,0
1577268000000,7243.67,7256.46,0
1577271600000,7233.19,7248.26,0
1577275200000,7229.99,7262.6,0
1577278800000,7246.69,7256.08,0
1577282400000,7232.06,7245.94,0
1577286000000,7231.85,7271.77,0
1577289600000,7252.16,7267.85,0
1577293200000,7253.12,7261.04,0
1577296800000,7232.99,7246.51,0
1577300400000,7227.67,7240,0
1577304000000,7216.92,7256,0
1577307600000,7229.17,7229.17,0
1577311200000,7190,7210.54,0
1577314800000,7190.66,7204.99,0
1577318400000,7189.58,7204.34,0
1577322000000,7145.7,7176.38,0
1577325600000,7164.17,7178.84,0
1577329200000,7174.51,7247,0
1577332800000,7238.02,7269.99,0
1577336400000,7245.34,7250.65,0
1577340000000,7219.75,7230,0
1577343600000,7213.56,7217.31,0
1577347200000,7205.01,7219.99,0
1577350800000,7191.93,7208.47,0
1577354400000,7205.74,7216.27,0
1577358000000,7200.37,7203.67,0
1577361600000,7182.84,7197,0
1577365200000,7182.51,7195,0
1577368800000,7188.31,7223.15,0
1577372400000,7206.57,7218.06,0
1577376000000,7209.2,7240.76,0
1577379600000,7224.2,7235.37,0
1577383200000,7211,7227.25,0
1577386800000,7217.63,7221.43,0
1577390400000,7189.06,7218,0
1577394000000,7207.51,7217,0
1577397600000,7208.65,7222.82,0
1577401200000,7216.4,7244,0
1577404800000,7231.83,7341.79,1
1577408400000,7338.64,7388,0
1577412000000,7368.81,7400,0
1577415600000,7362.86,7435,0
1577419200000,7296.1,7331.42,0
1577422800000,7255.53,7255.93,0
1577426400000,7197.81,7206.66,0
1577430000000,7199.44,7214.59,0
1577433600000,7202,7222.59,0
1577437200000,7206.34,7214.07,0
1577440800000,7212.35,7241.61,0
1577444400000,7222.69,7249,0
1577448000000,7232.04,7243.79,0
1577451600000,7194.51,7224.28,0
1577455200000,7209.78,7219.35,0
1577458800000,7201.25,7210,0
1577462400000,7188.42,7216.26,0
1577466000000,7197.94,7203.6,0
1577469600000,7188.9,7206.62,0
1577473200000,7189.19,7195.95,0
1577476800000,7136.38,7238.35,0
1577480400000,7227.45,7271.89,0
1577484000000,7193.54,7217.33,0
1577487600000,7203.09,7264,0
1577491200000,7237.75,7275.86,0
1577494800000,7203.03,7219.1,0
1577498400000,7203.88,7237.81,0
1577502000000,7220.83,7229.15,0
1577505600000,7215.05,7235.88,0
1577509200000,7223.5,7235.77,0
1577512800000,7228.3,7261,0
1577516400000,7241.33,7256.24,0
1577520000000,7254.77,7317,0
1577523600000,7311.43,7340,0
1577527200000,7311.7,7327.9,0
1577530800000,7295.41,7303.97,0
1577534400000,7288,7309.91,0
1577538000000,7299.37,7333.53,0
1577541600000,7317.99,7360,0
1577545200000,7300.93,7324.86,0
1577548800000,7302.53,7304.08,0
1577552400000,7294.03,7315.78,0
1577556000000,7308.07,7329.47,0
1577559600000,7322.75,7323,0
1577563200000,7308.32,7312.12,0
1577566800000,7301.3,7305.05,0
1577570400000,7305,7329.29,0
1577574000000,7325.5,7359.9,0
1577577600000,7304.24,7340,0
1577581200000,7321.48,7356.2,0
1577584800000,7340.45,7365.01,0
1577588400000,7341.7,7358,0
1577592000000,7344.7,7355,0
1577595600000,7339.85,7344.13,0
1577599200000,7331.48,7333.46,0
1577602800000,7325.59,7335,0
